episode,total_reward,steps,duration,player_hp,enemy_hp,shots,hits,win,epsilon
419,1030.22,483,80.5,2,0,34,3,1,0.8109
420,995.0,475,79.17,1,0,35,3,1,0.8105
421,-83.16,1001,166.83,2,1,74,2,0,0.8101
422,953.85,665,110.83,1,0,48,3,1,0.8097
423,-86.06,1001,166.83,3,2,76,1,0,0.8093
424,-121.01,1001,166.83,2,2,79,1,0,0.8089
425,-137.31,1001,166.83,3,3,76,0,0,0.8085
426,-129.66,1001,166.83,3,3,71,0,0,0.8081
427,1043.17,448,74.67,2,0,34,3,1,0.8077
428,1047.69,796,132.67,3,0,58,3,1,0.8073
429,-1136.74,724,120.67,0,1,54,2,0,0.8069
430,-1195.53,413,68.83,0,3,28,0,0,0.8065
431,959.54,731,121.83,1,0,56,3,1,0.8061
432,-136.41,1001,166.83,3,3,66,0,0,0.8057
433,999.67,373,62.17,1,0,29,3,1,0.8053
434,-129.51,1001,166.83,3,3,74,0,0,0.8049
435,-181.06,1001,166.83,1,2,73,1,0,0.8045
436,-1136.31,331,55.17,0,2,25,1,0,0.8041
437,-136.36,1001,166.83,3,3,76,0,0,0.8037
438,1126.89,211,35.17,3,0,17,3,1,0.8033
439,-73.06,1001,166.83,3,2,75,1,0,0.8029
440,-1133.12,662,110.33,0,1,48,2,0,0.8025
441,-238.71,1001,166.83,1,3,70,0,0,0.8021
442,-157.36,1001,166.83,2,3,72,0,0,0.8017
443,-122.06,1001,166.83,3,3,75,0,0,0.8013
444,-106.81,1001,166.83,3,3,74,0,0,0.8009
445,-128.06,1001,166.83,3,3,72,0,0,0.8005
446,-112.61,1001,166.83,3,3,76,0,0,0.8001
447,991.93,467,77.83,1,0,36,3,1,0.7997
448,-126.11,1001,166.83,2,2,76,1,0,0.7993
449,-77.91,1001,166.83,2,1,78,2,0,0.7989
450,-104.56,1001,166.83,3,3,78,0,0,0.7985
451,-1123.67,602,100.33,0,1,45,2,0,0.7981
452,-174.66,1001,166.83,2,3,76,0,0,0.7977
453,1096.19,351,58.5,3,0,26,3,1,0.7973
454,-1238.71,686,114.33,0,3,47,0,0,0.7969
455,-119.71,1001,166.83,3,3,73,0,0,0.7965
456,-68.31,1001,166.83,3,2,76,1,0,0.7961
457,1006.49,826,137.67,2,0,58,3,1,0.7957
458,-68.46,1001,166.83,3,2,76,1,0,0.7953
459,946.67,813,135.5,1,0,57,3,1,0.7949
460,979.76,524,87.33,1,0,39,3,1,0.7945
461,967.31,664,110.67,1,0,51,3,1,0.7941
462,-1118.06,121,20.17,0,2,10,1,0,0.7937
463,-73.41,1001,166.83,3,2,75,1,0,0.7933
464,-180.71,1001,166.83,2,3,70,0,0,0.7929
465,-59.01,1001,166.83,3,2,69,1,0,0.7925
466,-137.46,1001,166.83,3,3,71,0,0,0.7921
467,-132.11,1001,166.83,3,3,73,0,0,0.7917
468,-169.31,1001,166.83,2,3,72,0,0,0.7913
469,-1082.68,213,35.5,0,1,17,2,0,0.7909
470,1117.83,262,43.67,3,0,19,3,1,0.7905
471,1028.89,576,96.0,2,0,42,3,1,0.7901
472,-1155.74,814,135.67,0,1,59,2,0,0.7897
473,-110.86,1001,166.83,3,3,73,0,0,0.7893
474,-113.21,1001,166.83,3,3,76,0,0,0.7889
475,-130.81,1001,166.83,3,3,77,0,0,0.7886
476,-182.26,1001,166.83,2,3,70,0,0,0.7882
477,-120.71,1001,166.83,3,3,68,0,0,0.7878
478,-1099.46,441,73.5,0,1,32,2,0,0.7874
479,-1089.37,342,57.0,0,1,27,2,0,0.787
480,1006.09,371,61.83,1,0,24,3,1,0.7866
